name,text
Ernest Lenard Hall,ernest lenard ernie hall phd pe is professor emeritus of mechanical engineering and computer science in the school of dynamic systems in the college of engineering and applied science at the university of cincinnati he was also the paul e geier professor of robotics in the department of mechanical engineering at the university of cincinnati he has also held joint appointments at the university of cincinnati with the department of electrical and computer engineering and computer science he regularly collaborates with faculty and students in other colleges at university of cincinnati as well as civic groups including the first lego league the ohio academy of science and the society of manufacturing engineers chapter 21 while consulting with the oak ridge national laboratory he became interested in efforts to make useful robots for some of the dangerous tasks encountered by the department of energy department of defense and nasa he noted the importance of combining image processing algorithms with manipulators and controller to build intelligent robots especially in automatic target recognition he has founded and has cochaired an annual conference on intelligent robots and computer vision for the past 25 years to provide a forum for new innovations in this field he sits as the first paul e geier professor of robotics at the university of cincinnati at the university of cincinnati he established the center for robotics research which encourages robotics activities in industry medicine defense and even at home with projects like a robot lawn mower he also founded the uc robot team that has participated in the intelligent ground vehicle competition for the past 15 years and the darpa grand challenge in 2005 and 2007he has also served as a judge for the cincinnati first lego league for two years and has been called the woodie flowers of cincinnati for giving the gracious professionalism award in 2006 ernest l hall won the grand prize in the made in express contest sponsored by microsoft his entry for the contest was an allterrain selfmaneuverable robot developed using microsoft visual studio express he donated the 10000 cash prize from the contest back to the university of cincinnati to support robotics
Brian Loader,brian d loader born 1958 is a british scholar and associate director of the science and technology studies research unit satsu and political sociologist at the university of york uk brian joined the department of sociology at york in january 2006 his areas of research are new media and participatory cultures young citizens and political engagement and community informatics his overarching interest is in new media communications technologies and the social political and economic factors shaping their development and diffusion and their implications for social economic political and cultural change brian is the founding editor of the international journal information communication and society and has published widely in this areaborn in bulawayo zimbabwe in 1958 brian grew up in the uk in surrey before studying at southampton university between 1978 and 1981 where he obtained a bsc joint hons in politics and sociology he taught public and social policy at southampton institute of higher education and gained a master of public policy from the university of bristol in 1989 moving north to work at the university of teesside he taught first in the school of social sciences before establishing and directing the community informatics research and applications unit cira in 1996interest in the transforming capacities of internet began in the mid1990s primarily as a critical response to two discourses that continue to frame discussions about the sociopolitical influence of new media technologies to this day the first addressed in his book the governance of cyberspace 1997 highlighted and criticised the cyberlibertarian portrayals of the internet as emancipatory spaces divorced from the real world of power place history and political economy the second and related concern outlined in the cyberspace divide 1998 was the crucial issue of what impact the internet would have upon different social groups these two themes have continued to shape his research interest in how social relations of power are increasingly mediated through information and communication technologies
Rub%C3%A9n Rodr%C3%ADguez (basketball),rubn rodrguez born august 5 1953 is a puerto rican former basketball player he played 23 seasons in the baloncesto superior nacional bsn tournamentmany people consider either him jos ortz raymond dalmau georgie torres or mario morales to be the greatest basketball player in puerto ricos national tournaments history he was one of only five players morales dalmau georgie torres and mario butler being the other four to reach 10000 or more points during his bsn career and for a long time was the second best scorer ever behind dalmaurodrguez spent his whole career with the team vaqueros de bayamon of bayamn with the vaqueros he won 9 national championships 1967 1969 five in a row from 1971 to 1975 one in 1981 and one in 1988 the year that the team inaugurated his actual venue that carries his name the rubn rodrguez coliseum he also garnered the mvp award in 1979 and once the threepoint shot was established for the first time in the puerto rican tournament during the 1980 season he started making shots from behind the threepoint line toorodrguez was a member of the puerto rican national basketball team playing in many international tournaments such as the olympic games and pan american gameshe retired in 1991 he tried several times to coach a basketball team in the puerto rico league bsn but without success his most recent attempt was on bayamn team in 2002 when started the season with 05 being fired hes now a basketball analyst for several radio shows along the island
Steve Seskin,steve seskin is an american songwriter whose compositions have been recorded by alabama kenny chesney peter frampton waylon jennings brian mccomas neal mccoy tim mcgraw john michael montgomery colin raye tebey and mark wills the debut single from mcgraws set this circus down grown men dont cry was nominated for a 2002 grammy award and also garnered the 1 position on the billboard country single chart in june 2001 seskin also is known for performing at schools in support of the operation respectdont laugh at me project tolerance project named after dont laugh at me a song he wrote with allen shamblin that was performed by mark wills peter paul and mary and many othersseskin began his songwriting career when he moved to san francisco in 1972 crystal gayle suggested that seskin go to nashville during his first visit there in 1985 seskin began with only one appointment with an ascap executive who subsequently arranged seskin appointments with several publishers himself a performer seskin has recorded numerous cds for his own label michael laskow introducing seskin at taxis convention said this about him he is a man who has really truly proven that you can grow up in new york live in san francisco and still become a major player in nashvilleseskin splits his time between touring nashville and northern california
Raymond M. Kirk,raymond maurice jerry kirk born 31 october 1923 is professor of surgery at university college london and honorary consulting surgeon at the royal free hospital hampstead nw3the start of kirks career was delayed by the second world war between 1942 and 1946 he served as an ordinary seaman in the cruiser hms ajax during operation torch the first combined americanbritish landings in north africa later he was given charge of a minesweeper byms 2026 in the mediterranean sea but did not sweep any mines this ship was later loaned as rv calypso to explorer jacques cousteau in the 1950s who used it as a filming base for several filmsfollowing wwii kirk attended undergraduate medical school at kings college london and charing cross hospital he became an anatomy lecturer at kings college london and went on to attend postgraduate medical school at hammersmith hospital with prof ian aird after holding registrarships at both charing cross hospital and the royal free hospital he became a consultant general surgeon at the royal free group 1964 he was also a member of the council of the royal college of surgeons of england and devised the original basic surgical skills bss course as well as the first minimal access course alongside prof sir alfred cuschieri he was the director of the overseas doctors training scheme and was editor the annals of the royal college of surgeons of englandafter retiring from the nhs in 1989 kirk was appointed an honorary consulting surgeon at the royal free hospital and honorary professor of surgery at university college london as well as being former president of the surgical section of the royal society of medicine the medical society of london and the hunterian society he has also written numerous books on general surgery and surgical technique for training surgeons he holds honorary fellowships of the association of surgeons of poland and the college of surgeons of sri lanka he is a fellow of the royal society of medicine
Massimo Teodori,massimo teodori born september 9 1938 is an italian author and politician his books mainly focus on the differences between europe and the united stateshe was born in force near the city of ascoli piceno marche to an uppermiddleclass family his grandfather a landowning farmer was a liberal deputy in ascoli piceno from 1903 to 1919 who shared the ideas of giovanni giolitti his father a lawyer was a liberal antifascist who held public responsibilities during the italian liberation and in the immediate post first world war period for three years as a teenager he hitchhiked throughout europe as of 1958 he lives in rome where he got a university degree in architecture with bruno zevi and ludovico quaroni whom he began to collaborate with during his university training he was involved in local and national university politicsin the mid1960s he lived in the united states new york philadelphia san francisco and berkeley in 1971 despite lacking a degree in the subject he began to teach american history at italian universities in 1979 he became a professor at the faculty of political sciences at the university of perugia in italy he has taught at the libera universit italiana scienze sociali luiss of rome and at the johns hopkins university extension at bologna in the united states he has lectured at the university of california berkeley columbia university and harvard universitymassimo teodori has been president of italyusa foundation from 2005 to 2007 and has written a number of books maledetti americani cursed americansbenedetti americani blessed americansleuropa non lamerica europe is not united statesraccontare lamerica to tell america
Jina You,jina you is a canadian television news broadcaster born in prince rupert british columbia she moved to the lower mainland soon after and was raised in maple ridge british columbia she is a cowinner of a jack webster award for excellence in legal journalism in 2008 for team coverage of the robert pickton trial verdictshe attended high school in maple ridge and launched her journalism career at the maple ridge news as a reporter and columnist while studying communications and english at simon fraser universityshe worked as a producer and reporter for a radio station in hong kong before moving into television as a reporter and anchor she also worked in singapore covering current affairs while traveling extensively throughout asiayou then moved back home and began a new assignment at vancouver television as a reporter and weekend anchor for vtv news at six shortly after she was the morning anchor for vtv breakfast and stayed on the anchor desk when the station changed over to ctv british columbiayou is currently the anchor of ctv news at six and 1130 weekend edition and a senior reporterin august 2013 jina you took up a position as communications director at magnolia marketing communications in vancouver bc
Liz Neumark,liz neumark born in new york city is the founder and ceo of new york catering company great performances a third generation new yorker and barnard graduate liz is a member of the new york state food policy council and the founder of the sylvia center a nonprofit organization that inspires healthful eating for children through cooking workshops and visits to the farmliz created great performances in 1979 as a waitress service for women in the arts the company is based in hudson square nyc and is today the largest offpremises catering company in new york city it is the exclusive caterer for notable artistic institutions including jazz at lincoln center bam apollo theater sothebys caramoor and wave hill in keeping with its appreciation of the arts great performances created the scholarship awards program which supports its event staff members who are pursuing careers as artistsliz recently joint ventured with delaware north companies to manage and operate the plaza hotelin 2006 liz created katchkie farm an organic farm on 60 acres 240000 m2 of neverbeforefarmed land in columbia county which was named after her son ny katchkie farm is the home of the sylvia center where school groups throughout new york visit to plant in the childrens garden and learn about eating healthful foodsliz is currently a blogger on food politics for the huffington post she is also a recipient of the food arts silver spoon award and was named one of the 100 most influential women in nyc business by crains new york
Mohamed Issangar,mohamed issangar born 12 december 1964 is a retired moroccan longdistance runner who specialized in the 5000 metreshe competed at the 1991 world championships without reaching the final finished ninth at the 1992 olympic games and fourth in the 1993 iaaf grand prix final he finished sixteenth at the 1994 world cross country championships and for this he won a silver medal with the moroccan team in the team competition this was the first team medal claimed by morocco in this eventon the regional level he won the bronze medal at the 1989 jeux de la francophonie behind countryfellows sad aouita and khalid skah this was one of three allmoroccan podiums in this event at the jeux de la francophonie the other being 1994 salah hissou brahim lahlafi brahim jabbour and 2001 mohamed amine abderrahim goumri mohamed sad el wardi issangar also won bronze medals at the 1988 and 1990 african championshipshis personal best times were 35703 minutes in the mile run achieved in august 1990 in monaco 73930 minutes in the 3000 metres achieved in august 1993 in kln 130851 minutes in the 5000 metres achieved in july 1990 in london and 10218 hours in the half marathon achieved in march 1992 in an seba
Jack Hawkins (Nova Scotia politician),walter john jack hawkins born may 5 1932 is an author and former politician in nova scotia canada he represented hants east in the nova scotia house of assembly from 1970 to 1978 from 1981 to 1984 and from 1988 to 1993 as a liberal memberhe was born in halifax nova scotia and educated at saint marys university and the university of new brunswick he served in the canadian army from 1955 to 1960 reaching the rank of lieutenant hawkins was an english professor at the nova scotia agricultural college and st marys university he served in the provinces executive council as minister of agriculture from 1972 to 1978 and as minister of the environment from 1975 to 1976 hawkins also served as chair of the nova scotia treasury board from 1975 to 1978 and chair of the liberal caucus from 1981 to 1983he was the author of life and times of angus l macdonald 1969 deer hunting in eastern canada 1981 isbn 0889991499 recollections of the regan years a political memoir 1990 isbn 0889994536 renfrew gold the story of a nova scotia ghost town 1995 isbn 0889995737 maitland the ships the men and their wealth 1996 the founding of halifax 1999 isbn 0968568904
Mark Bertness,mark bertness born july 13 1949 is an american ecologist known for his work on the community assembly of marine shoreline communitiesamong his important work are the stress gradient hypothesis bertness and callaway 1994 that predicts that positive species interactions are more important in biologically and physically stressful habitats than in biologically and physically benign habitats his experimental research in a variety of marine intertidal communities elucidating the roles of biotic interaction across intertidal gradients bertness and hacker 1994 bertness et al 1999 bertness 1999 his pioneering of experimental community ecology in salt marsh ecosystems and his work on apex predator depletion causing dieoffs in salt marshes due to the release of herbivores from predator control he is the robert p brown professor of biology and chair of the department of ecology and evolutionary biology at brown university and has had visiting distinguished appointments at groningen university the netherlands the catholic university of santiago chile and the university of sassari sardinia italyin 2002 bertness was designated as an isi web of science highly cited researcher in environmental science this indicates that dr bertness was among the 250 mostcited researchers in environmental science during a certain period of time in 2009 bertness was recognized as a fellow of the american association for the advancement of science this fellowship is a recognition of an individuals meritorious efforts to advance science or its applications bertness is also a trustee of the marine biological association of the united kingdom
Marco Lopez (actor),marco antonio lopez born september 10 1935 also credited as marco antonio antonio lopez and marco lopez is an american actor who was known for his roles in jack webbproduced television series such as adam12 where he played the recurring character of officer sanchez and dragnet where he was credited as marco antonio and was the stand in for webb on long shots his first hollywood job was as a standin for elvis presley in the 1956 movie love me tenderlopez was born in los angeles of mexican descent in 1972 lopez was offered a role that would bring him into the homes of millions of americans weekly the role of firefighter marco lopez in the jack webb produced television series emergency like his fellow emergency costar mike stoker lopez used his real name as his character name which led to confusion that he was an actual firefighter with the los angeles county fire department this was later cleared up by lopez himself he had never worked with the lacofd at any timehe would later get roles in such television shows as macgyver mission impossible adam12 murder she wrote and the six million dollar man he also appeared opposite catherine zetajones and julia roberts in the movie americas sweethearts where he had an uncredited role as a photographer lopez was also one of the original extra crewman on voyage to the bottom of the sea a show he lent his visage though seldom his voice to from 1964 to 1968
Ken Brown (golfer),ken brown born 9 january 1957 is a scottish former european tour golfer who now works as a golf broadcaster and writer primarily for the bbc golf channel and super sport he started his tv work with sky sports working on their pga tour and european tour coverage in the early 1990she won four times on the european tour and in his best season in 1978 he finished fourth on the european tour order of merit at the age of 21 he was an outstanding but largelyunfulfilled talent the last of his four top10 finishes on the order of merit came when he was just 26 he appeared in the ryder cup in 1977 1979 1983 1985 and 1987 and had a 490 winlosstie record including two wins and two losses in singles matches brown was vicecaptain under mark james in the 1999 matchesafter retiring from playing brown has spent much of his time as a bbc tv golf commentator and analyst he also works as part of the commentary team for the international coverage of the european tour on selected events which are not covered by the bbc his ken on the course features looking at the strategy of holes have been very popular
Andrey Tatarinov,andrey alexeyevich tatarinov russian born 1 january 1951 is a russian career diplomat and ambassador who since 20 september 2003 holds the diplomatic rank minister extraordinary and plenipotentiary of the first classtatarinov entered the department of vietnamese linguistics at the moscow state institute of international relations in 1968 and graduated in 1973 after which he entered the diplomatic corps of the soviet ministry of foreign affairs serving in numerous posts abroad and in the central offices of the ministryhis first posting saw him taking up a position at the soviet embassy in vietnam where he was posted from 1973 to 1977 he returned to moscow and worked in the department of vietnam affairs in the soviet foreign ministry until 1982 when he was again posted to hanoi as first secretary at the soviet embassy and stayed in hanoi until 1988 in 1992 tatarinov was appointed as ministercounsellor at the russian embassy to thailand and held this position until 1997 when he was transferred back to moscow and became deputydirector of the personnel department of the russian ministry of foreign affairstatarinovs first ambassadorial appointment came on 9 april 2001 when he was appointed by thenpresident of russia vladimir putin as russias ambassador to vietnam a post he held from may 2001 until early 2004 on 8 march 2005 he was awarded the medal of friendship by the government of vietnam in recognition of his contribution to russiavietnam relationsfrom january 2004 to december 2007 he was deputy director of the department of asean member states and common asian problems at the foreign affairs ministry and from 2004 he was also the special representative of the minister of foreign affairs of russia on asean member states and south pacific countries a position he holds to the current dayon 11 september 2008 president dmitry medvedev appointed tatarinov as ambassador of russia to new zealand with concurrent accreditation to samoa and extended his accreditation to tonga on 26 september 2008 he presented his credentials to anand satyanand the governorgeneral of new zealand on 12 november 2008 and to tuiatua tupua tamasese efi the o le ao o le malo of samoa on 5 february 2009tatarinov speaks russian english french and vietnamese
